a,2,2 
b,2,2 
c,2,2 
d,2,2 
e,2,2 
f,2,2 
g,2,2 
h,2,2 
i,2,2 
j,2,2 
k,2,2 
l,2,2 
m,2,2 
n,2,2 
o,2,2 
p,2,2 
q,2,2 
r,2,2 
s,2,2 
t,2,2 
u,2,2 
w,2,2 
x,2,2 
y,2,2 
z,2,2 
a,2,3 
b,2,3 
c,2,3 
d,2,3 
e,2,3 
f,2,3 
g,2,3 
h,2,3 
i,2,3 
j,2,3 
k,2,3 
l,2,3 
m,2,3 
n,2,3 
o,2,3 
p,2,3 
q,2,3 
r,2,3 
s,2,3 
t,2,3 
u,2,3 
w,2,3 
x,2,3 
y,2,3 
z,2,3 
a,2,4 
b,2,4 
c,2,4 
d,2,4 
e,2,4 
f,2,4 
g,2,4 
h,2,4 
i,2,4 
j,2,4 
k,2,4 
l,2,4 
m,2,4 
n,2,4 
o,2,4 
p,2,4 
q,2,4 
r,2,4 
s,2,4 
t,2,4 
u,2,4 
w,2,4 
x,2,4 
y,2,4 
z,2,4 
a,2,5 
b,2,5 
c,2,5 
d,2,5 
e,2,5 
f,2,5 
g,2,5 
h,2,5 
i,2,5 
j,2,5 
k,2,5 
l,2,5 
m,2,5 
n,2,5 
o,2,5 
p,2,5 
q,2,5 
r,2,5 
s,2,5 
t,2,5 
u,2,5 
w,2,5 
x,2,5 
y,2,5 
z,2,5 
a,2,6 
b,2,6 
c,2,6 
d,2,6 
e,2,6 
f,2,6 
g,2,6 
h,2,6 
i,2,6 
j,2,6 
k,2,6 
l,2,6 
m,2,6 
n,2,6 
o,2,6 
p,2,6 
q,2,6 
r,2,6 
s,2,6 
t,2,6 
u,2,6 
w,2,6 
x,2,6 
y,2,6 
z,2,6 
a,2,7 
b,2,7 
c,2,7 
d,2,7 
e,2,7 
f,2,7 
g,2,7 
h,2,7 
i,2,7 
j,2,7 
k,2,7 
l,2,7 
m,2,7 
n,2,7 
o,2,7 
p,2,7 
q,2,7 
r,2,7 
s,2,7 
t,2,7 
u,2,7 
w,2,7 
x,2,7 
y,2,7 
z,2,7 
a,3,2 
b,3,2 
c,3,2 
d,3,2 
e,3,2 
f,3,2 
g,3,2 
h,3,2 
i,3,2 
j,3,2 
k,3,2 
l,3,2 
m,3,2 
n,3,2 
o,3,2 
p,3,2 
q,3,2 
r,3,2 
s,3,2 
t,3,2 
u,3,2 
w,3,2 
x,3,2 
y,3,2 
z,3,2 
a,3,3 
b,3,3 
c,3,3 
d,3,3 
e,3,3 
f,3,3 
g,3,3 
h,3,3 
i,3,3 
j,3,3 
k,3,3 
l,3,3 
m,3,3 
n,3,3 
o,3,3 
p,3,3 
q,3,3 
r,3,3 
s,3,3 
t,3,3 
u,3,3 
w,3,3 
